stimuli,emotion_stimuli,subject,emotion_subject
nishio_ang_au_cl_2_0,ang,0,ang
ota_ang_au_cl_1_0,ang,0,dis
koyama_ang_au_cl_2_0,ang,0,ang
iwagami_ang_au_cl_1_0,ang,0,ang
henmi_ang_au_cl_4_0,ang,0,sad
kikuguti_ang_au_cl_1_0,ang,0,ang
sirakura_ang_au_cl_3_0,ang,0,ang
nakatakuma_ang_au_cl_2_0,ang,0,ang
nishio_dis_au_cl_3_0,dis,0,fea
ota_dis_au_cl_1_0,dis,0,dis
koyama_dis_au_cl_2_0,dis,0,sad
iwagami_dis_au_cl_1_0,dis,0,ang
henmi_dis_au_cl_1_0,dis,0,sad
kikuguti_dis_au_cl_4_0,dis,0,fea
sirakura_dis_au_cl_1_0,dis,0,sad
nakatakuma_dis_au_cl_1_0,dis,0,dis
nishio_fea_au_mouth_2_0,fea,0,fea
ota_fea_fr_2_0,fea,0,fea
koyama_fea_fr_2_0,fea,0,sur
iwagami_fea_au_mouth_1_0,fea,0,sad
henmi_fea_au_mouth_2_0,fea,0,fea
kikuguti_fea_au_mouth_1_0,fea,0,sad
sirakura_fea_fr_2_0,fea,0,sur
nakatakuma_fea_fr_1_0,fea,0,fea
nishio_hap_au_du_1_0,hap,0,hap
ota_hap_au_du_1_0,hap,0,hap
koyama_hap_au_du_1_0,hap,0,hap
iwagami_hap_au_du_2_0,hap,0,hap
henmi_hap_au_du_1_0,hap,0,hap
kikuguti_hap_au_du_4_0,hap,0,hap
sirakura_hap_au_du_2_0,hap,0,hap
nakatakuma_hap_au_du_1_0,hap,0,hap
nishio_sad_au_1_0,sad,0,sad
ota_sad_au_mouth_1_0,sad,0,sad
koyama_sad_au_mouth_1_0,sad,0,sad
iwagami_sad_au_mouth_3_0,sad,0,sad
henmi_sad_au_mouth_3_0,sad,0,sad
kikuguti_sad_au_1_0,sad,0,sad
sirakura_sad_au_mouth_1_0_130,sad,0,sad
nakatakuma_sad_au_2_0,sad,0,dis
nishio_sur_au_mouth_2_0,sur,0,sur
ota_sur_fr_1_0,sur,0,sur
koyama_sur_fr_2_0,sur,0,sur
iwagami_sur_au_mouth_2_0,sur,0,sur
henmi_sur_au_mouth_2_0,sur,0,sur
kikuguti_sur_fr_2_0,sur,0,sur
sirakura_sur_fr_1_0,sur,0,sur
nakatakuma_sur_au_mouth_2_0,sur,0,sur
nishio_ang_au_cl_2_0,ang,1,ang
ota_ang_au_cl_1_0,ang,1,ang
koyama_ang_au_cl_2_0,ang,1,ang
iwagami_ang_au_cl_1_0,ang,1,ang
henmi_ang_au_cl_4_0,ang,1,ang
kikuguti_ang_au_cl_1_0,ang,1,ang
sirakura_ang_au_cl_3_0,ang,1,ang
nakatakuma_ang_au_cl_2_0,ang,1,ang
nishio_dis_au_cl_3_0,dis,1,dis
ota_dis_au_cl_1_0,dis,1,dis
koyama_dis_au_cl_2_0,dis,1,sad
iwagami_dis_au_cl_1_0,dis,1,dis
henmi_dis_au_cl_1_0,dis,1,sad
kikuguti_dis_au_cl_4_0,dis,1,ang
sirakura_dis_au_cl_1_0,dis,1,sad
nakatakuma_dis_au_cl_1_0,dis,1,dis
nishio_fea_au_mouth_2_0,fea,1,fea
ota_fea_fr_2_0,fea,1,dis
koyama_fea_fr_2_0,fea,1,dis
iwagami_fea_au_mouth_1_0,fea,1,fea
henmi_fea_au_mouth_2_0,fea,1,fea
kikuguti_fea_au_mouth_1_0,fea,1,fea
sirakura_fea_fr_2_0,fea,1,ang
nakatakuma_fea_fr_1_0,fea,1,sur
nishio_hap_au_du_1_0,hap,1,hap
ota_hap_au_du_1_0,hap,1,hap
koyama_hap_au_du_1_0,hap,1,hap
iwagami_hap_au_du_2_0,hap,1,hap
henmi_hap_au_du_1_0,hap,1,hap
kikuguti_hap_au_du_4_0,hap,1,hap
sirakura_hap_au_du_2_0,hap,1,hap
nakatakuma_hap_au_du_1_0,hap,1,hap
nishio_sad_au_1_0,sad,1,dis
ota_sad_au_mouth_1_0,sad,1,sad
koyama_sad_au_mouth_1_0,sad,1,sad
