stimuli,emotion_stimuli,subject,emotion_subject
nishio_ang_au_cl_2_0,ang,KK,ang
ota_ang_au_cl_1_0,ang,KK,dis
koyama_ang_au_cl_2_0,ang,KK,ang
iwagami_ang_au_cl_1_0,ang,KK,ang
henmi_ang_au_cl_4_0,ang,KK,sad
kikuguti_ang_au_cl_1_0,ang,KK,ang
sirakura_ang_au_cl_3_0,ang,KK,ang
nakatakuma_ang_au_cl_2_0,ang,KK,ang
nishio_dis_au_cl_3_0,dis,KK,fea
ota_dis_au_cl_1_0,dis,KK,dis
koyama_dis_au_cl_2_0,dis,KK,sad
iwagami_dis_au_cl_1_0,dis,KK,ang
henmi_dis_au_cl_1_0,dis,KK,sad
kikuguti_dis_au_cl_4_0,dis,KK,fea
sirakura_dis_au_cl_1_0,dis,KK,sad
nakatakuma_dis_au_cl_1_0,dis,KK,dis
nishio_fea_au_mouth_2_0,fea,KK,fea
ota_fea_fr_2_0,fea,KK,fea
koyama_fea_fr_2_0,fea,KK,sur
iwagami_fea_au_mouth_1_0,fea,KK,sad
henmi_fea_au_mouth_2_0,fea,KK,fea
kikuguti_fea_au_mouth_1_0,fea,KK,sad
sirakura_fea_fr_2_0,fea,KK,sur
nakatakuma_fea_fr_1_0,fea,KK,fea
nishio_hap_au_du_1_0,hap,KK,hap
ota_hap_au_du_1_0,hap,KK,hap
koyama_hap_au_du_1_0,hap,KK,hap
iwagami_hap_au_du_2_0,hap,KK,hap
henmi_hap_au_du_1_0,hap,KK,hap
kikuguti_hap_au_du_4_0,hap,KK,hap
sirakura_hap_au_du_2_0,hap,KK,hap
nakatakuma_hap_au_du_1_0,hap,KK,hap
nishio_sad_au_1_0,sad,KK,sad
ota_sad_au_mouth_1_0,sad,KK,sad
koyama_sad_au_mouth_1_0,sad,KK,sad
iwagami_sad_au_mouth_3_0,sad,KK,sad
henmi_sad_au_mouth_3_0,sad,KK,sad
kikuguti_sad_au_1_0,sad,KK,sad
sirakura_sad_au_mouth_1_0_130,sad,KK,sad
nakatakuma_sad_au_2_0,sad,KK,dis
nishio_sur_au_mouth_2_0,sur,KK,sur
ota_sur_fr_1_0,sur,KK,sur
koyama_sur_fr_2_0,sur,KK,sur
iwagami_sur_au_mouth_2_0,sur,KK,sur
henmi_sur_au_mouth_2_0,sur,KK,sur
kikuguti_sur_fr_2_0,sur,KK,sur
sirakura_sur_fr_1_0,sur,KK,sur
nakatakuma_sur_au_mouth_2_0,sur,KK,sur
nishio_ang_au_cl_2_0,ang,OR,ang
ota_ang_au_cl_1_0,ang,OR,ang
koyama_ang_au_cl_2_0,ang,OR,ang
iwagami_ang_au_cl_1_0,ang,OR,ang
henmi_ang_au_cl_4_0,ang,OR,ang
kikuguti_ang_au_cl_1_0,ang,OR,ang
sirakura_ang_au_cl_3_0,ang,OR,ang
nakatakuma_ang_au_cl_2_0,ang,OR,ang
nishio_dis_au_cl_3_0,dis,OR,dis
ota_dis_au_cl_1_0,dis,OR,dis
koyama_dis_au_cl_2_0,dis,OR,sad
